species,amphibia,aves,mammalia,reptilia,Grand Total,amp_prop,ave_prop,mam_prop,rep_prop,TribeSubfamily,Genus
Aedeomyia_squamipennis,3,71,5,3,82,0.036585366,0.865853659,0.06097561,0.036585366,Aedeomyiini,Aedeomyia
Aedeomyia_africana,1,,14,,15,0.066666667,0,0.933333333,0,Aedeomyiini,Aedeomyia
Aedeomyia_catasticta,,2,,,2,0,1,0,0,Aedeomyiini,Aedeomyia
Aedes_vexans,1,2514,7943,4,10462,9.56E-05,0.240298222,0.759223858,0.000382336,Aedini,Aedes
Aedes_africanusA,,,2319,,2319,0,0,1,0,Aedini,Aedes
Aedes_taeniorhynchus,1,96,1546,9,1652,0.000605327,0.05811138,0.935835351,0.005447942,Aedini,Aedes
Aedes_aegypti,,25,1590,,1615,0,0.015479876,0.984520124,0,Aedini,Aedes
Aedes_albopictus,,65,1310,7,1382,0,0.047033285,0.947901592,0.005065123,Aedini,Aedes
Aedes_camptorhynchus,,27,1133,,1160,0,0.023275862,0.976724138,0,Aedini,Aedes
Aedes_canadensis,,49,748,200,997,0,0.049147442,0.750250752,0.200601805,Aedini,Aedes
Aedes_scapularis,1,89,853,,943,0.001060445,0.094379639,0.904559915,0,Aedini,Aedes
Aedes_infirmatus,,29,885,1,915,0,0.031693989,0.967213115,0.001092896,Aedini,Aedes
Aedes_trivittatus,1,34,590,,625,0.0016,0.0544,0.944,0,Aedini,Aedes
Aedes_triseriatus,,12,489,77,578,0,0.020761246,0.846020761,0.133217993,Aedini,Aedes
Aedes_ochraceus,,1,463,,464,0,0.002155172,0.997844828,0,Aedini,Aedes
Aedes_nigromaculis,,4,442,,446,0,0.00896861,0.99103139,0,Aedini,Aedes
Aedes_caspius,,48,365,,413,0,0.11622276,0.88377724,0,Aedini,Aedes
Aedes_lineatopennis,,,396,1,397,0,0,0.997481108,0.002518892,Aedini,Aedes
Aedes_dorsalis,,6,323,,329,0,0.018237082,0.981762918,0,Aedini,Aedes
Aedes_sierrensis,,2,300,1,303,0,0.00660066,0.99009901,0.00330033,Aedini,Aedes
Aedes_circumluteolum,,3,299,,302,0,0.009933775,0.990066225,0,Aedini,Aedes
Aedes_baisasi,3,,,,283,0.010600707,0,0,0,Aedini,Aedes
Aedes_albifasciatus,,,229,,229,0,0,1,0,Aedini,Aedes
Aedes_atlanticus,,3,198,11,212,0,0.014150943,0.933962264,0.051886792,Aedini,Aedes
Aedes_hendersoni,,,207,,207,0,0,1,0,Aedini,Aedes
Aedes_sollicitans,,5,201,,206,0,0.024271845,0.975728155,0,Aedini,Aedes
Aedes_mcintoshi,,,181,,181,0,0,1,0,Aedini,Aedes
Aedes_hirsutus,1,3,153,,157,0.006369427,0.01910828,0.974522293,0,Aedini,Aedes
Aedes_vigilax,,7,141,,148,0,0.047297297,0.952702703,0,Aedini,Aedes
Aedes_cinereus,,6,141,,147,0,0.040816327,0.959183673,0,Aedini,Aedes
Aedes_excrucians,,1,137,,138,0,0.007246377,0.992753623,0,Aedini,Aedes
Aedes_stimulans,,1,132,,133,0,0.007518797,0.992481203,0,Aedini,Aedes
Aedes_normanensis,,8,120,,128,0,0.0625,0.9375,0,Aedini,Aedes
Aedes_sticticus,,1,126,,127,0,0.007874016,0.992125984,0,Aedini,Aedes
Aedes_cumminisii,,,119,,119,0,0,1,0,Aedini,Aedes
Aedes_japonicus,,12,100,,112,0,0.107142857,0.892857143,0,Aedini,Aedes
Aedes_dentatus,,,104,,104,0,0,1,0,Aedini,Aedes
Aedes_thibaulti,,1,97,,98,0,0.010204082,0.989795918,0,Aedini,Aedes
Aedes_ingrami,,,96,,96,0,0,1,0,Aedini,Aedes
Aedes_apicoargenteus,,,94,,94,0,0,1,0,Aedini,Aedes
Aedes_serratus,1,21,50,,72,0.013888889,0.291666667,0.694444444,0,Aedini,Aedes
Aedes_taylori,,6,66,,72,0,0.083333333,0.916666667,0,Aedini,Aedes
Aedes_nigerrimus,,,70,,70,0,0,1,0,Aedini,Aedes
Aedes_vittatus,,22,48,,70,0,0.314285714,0.685714286,0,Aedini,Aedes
Aedes_increpitus,,,68,,68,0,0,1,0,Aedini,Aedes
Aedes_cantator,,1,62,1,64,0,0.015625,0.96875,0.015625,Aedini,Aedes
Aedes_fulvus,,12,51,,63,0,0.19047619,0.80952381,0,Aedini,Aedes
Aedes_sudanensis,,1,57,,58,0,0.017241379,0.982758621,0,Aedini,Aedes
Aedes_melanimon,,1,49,,50,0,0.02,0.98,0,Aedini,Aedes
Aedes_flavescens,,,45,,45,0,0,1,0,Aedini,Aedes
Aedes_notoscriptusRed,,7,34,,41,0,0.170731707,0.829268293,0,Aedini,Aedes
Aedes_bancroftianus,,4,36,,40,0,0.1,0.9,0,Aedini,Aedes
Aedes_vittiger,,1,38,,39,0,0.025641026,0.974358974,0,Aedini,Aedes
Aedes_riversi,,,17,19,36,0,0,0.472222222,0.527777778,Aedini,Aedes
Aedes_alboannulatus,,1,33,,34,0,0.029411765,0.970588235,0,Aedini,Aedes
Aedes_crinifer,,3,23,,26,0,0.115384615,0.884615385,0,Aedini,Aedes
Aedes_angustivittatus,,3,20,1,24,0,0.125,0.833333333,0.041666667,Aedini,Aedes
Aedes_aurifer,,,24,,24,0,0,1,0,Aedini,Aedes
Aedes_abserratus,,,23,,23,0,0,1,0,Aedini,Aedes
Aedes_fluviatilis,,1,22,,23,0,0.043478261,0.956521739,0,Aedini,Aedes
Aedes_luteocephalus,,7,16,,23,0,0.304347826,0.695652174,0,Aedini,Aedes
Aedes_hesperonotius,,,22,,22,0,0,1,0,Aedini,Aedes
Aedes_eidsvoldensis,,,21,,21,0,0,1,0,Aedini,Aedes
Aedes_clelandi,,,15,,15,0,0,1,0,Aedini,Aedes
Aedes_cataphylla,,,14,,14,0,0,1,0,Aedini,Aedes
Aedes_implicatus,,,10,,10,0,0,1,0,Aedini,Aedes
Aedes_communis,,,9,,9,0,0,1,0,Aedini,Aedes
Aedes_detritus,,,9,,9,0,0,1,0,Aedini,Aedes
Aedes_procax,,,9,,9,0,0,1,0,Aedini,Aedes
Aedes_terrens,,5,3,,8,0,0.625,0.375,0,Aedini,Aedes
Aedes_metallicus,2,3,2,,7,0.285714286,0.428571429,0.285714286,0,Aedini,Aedes
Aedes_quasiunivittatus,,,7,,7,0,0,1,0,Aedini,Aedes
Aedes_dupreei,,6,,,6,0,1,0,0,Aedini,Aedes
Aedes_aureostriatus,,,5,,5,0,0,1,0,Aedini,Aedes
Aedes_dalzieli,,4,1,,5,0,0.8,0.2,0,Aedini,Aedes
Aedes_sagax,,,5,,5,0,0,1,0,Aedini,Aedes
Aedes_furcifer,,4,,,4,0,1,0,0,Aedini,Aedes
Aedes_nipponicus,,,4,,4,0,0,1,0,Aedini,Aedes
Aedes_ratcliffei,,,4,,4,0,0,1,0,Aedini,Aedes
Aedes_flavopictus,,,3,,3,0,0,1,0,Aedini,Aedes
Aedes_geniculatus,,,3,,3,0,0,1,0,Aedini,Aedes
Aedes_pseudonormanensis,,,3,,3,0,0,1,0,Aedini,Aedes
Aedes_tortilis,,1,2,,3,0,0.333333333,0.666666667,0,Aedini,Aedes
Aedes_,,2,,,2,0,1,0,0,Aedini,Aedes
Aedes_argenteopunctatus,,2,,,2,0,1,0,0,Aedini,Aedes
Aedes_caballus,,,2,,2,0,0,1,0,Aedini,Aedes
Aedes_cantans,,,2,,2,0,0,1,0,Aedini,Aedes
Aedes_fitchii,,,2,,2,0,0,1,0,Aedini,Aedes
Aedes_sapiens,,,2,,2,0,0,1,0,Aedini,Aedes
Aedes_annulipes,,,1,,1,0,0,1,0,Aedini,Aedes
Aedes_kochi,,,1,,1,0,0,1,0,Aedini,Aedes
Aedes_koreicus,,,1,,1,0,0,1,0,Aedini,Aedes
Aedes_mediovittatus,,,1,,1,0,0,1,0,Aedini,Aedes
Aedes_mitchellae,,,1,,1,0,0,1,0,Aedini,Aedes
Aedes_mixtus,,,1,,1,0,0,1,0,Aedini,Aedes
Aedes_multiplex,,,1,,1,0,0,1,0,Aedini,Aedes
Aedes_podographicus,,,1,,1,0,0,1,0,Aedini,Aedes
Aedes_punctor,,,1,,1,0,0,1,0,Aedini,Aedes
Aedes_riparius,,,1,,1,0,0,1,0,Aedini,Aedes
Aedes_rusticus,,,1,,1,0,0,1,0,Aedini,Aedes
Aedes_scutellaris,,,1,,1,0,0,1,0,Aedini,Aedes
Aedes_tricholabis,,,1,,1,0,0,1,0,Aedini,Aedes
Anopheles_gambiae,2,107,27267,,27376,7.31E-05,0.003908533,0.99601841,0,Anophelinae,Anopheles
Anopheles_funestus,1,37,12418,,12456,8.03E-05,0.002970456,0.996949261,0,Anophelinae,Anopheles
Anopheles_sacharovi,,45,9084,,9129,0,0.004929346,0.995070654,0,Anophelinae,Anopheles
Anopheles_darlingi,,20,5910,,5930,0,0.003372681,0.996627319,0,Anophelinae,Anopheles
Anopheles_pseudopunctipennis,,38,4428,,4466,0,0.008508733,0.991491267,0,Anophelinae,Anopheles
Anopheles_culicifacies,,6,3650,,3656,0,0.001641138,0.998358862,0,Anophelinae,Anopheles
Anopheles_aconitus,,,3635,,3635,0,0,1,0,Anophelinae,Anopheles
Anopheles_barbirostris,,,3049,,3049,0,0,1,0,Anophelinae,Anopheles
Anopheles_quadrimaculatus,,306,2644,,2950,0,0.103728814,0.896271186,0,Anophelinae,Anopheles
Anopheles_albimanus,,76,2870,,2946,0,0.025797692,0.974202308,0,Anophelinae,Anopheles
Anopheles_maculipennis,,94,2572,,2666,0,0.035258815,0.964741185,0,Anophelinae,Anopheles
Anopheles_balabacensis,,13,2506,,2519,0,0.005160778,0.994839222,0,Anophelinae,Anopheles
Anopheles_fluviatilis,,4,2025,,2029,0,0.001971414,0.998028586,0,Anophelinae,Anopheles
Anopheles_superpictus,,9,1931,,1940,0,0.004639175,0.995360825,0,Anophelinae,Anopheles
Anopheles_annularis,,,1918,,1918,0,0,1,0,Anophelinae,Anopheles
Anopheles_pharoensis,,2,1869,,1871,0,0.001068947,0.998931053,0,Anophelinae,Anopheles
Anopheles_sundaicus,,5,1624,,1629,0,0.003069368,0.996930632,0,Anophelinae,Anopheles
Anopheles_sergentii,,12,1612,,1624,0,0.007389163,0.992610837,0,Anophelinae,Anopheles
Anopheles_leucosphyrus,,8,1558,,1566,0,0.005108557,0.994891443,0,Anophelinae,Anopheles
Anopheles_vagus,,2,1526,,1528,0,0.001308901,0.998691099,0,Anophelinae,Anopheles
Anopheles_stephensi,,2,1280,,1282,0,0.001560062,0.998439938,0,Anophelinae,Anopheles
Anopheles_rufipes,,,1273,,1273,0,0,1,0,Anophelinae,Anopheles
Anopheles_freeborni,,5,1169,,1174,0,0.004258944,0.995741056,0,Anophelinae,Anopheles
Anopheles_farauti,,3,1109,,1112,0,0.002697842,0.997302158,0,Anophelinae,Anopheles
Anopheles_annulipesE,,21,1060,,1081,0,0.019426457,0.980573543,0,Anophelinae,Anopheles
Anopheles_subpictus,,,1078,,1078,0,0,1,0,Anophelinae,Anopheles
Anopheles_arabiensis,,1,1054,,1055,0,0.000947867,0.999052133,0,Anophelinae,Anopheles
Anopheles_indefinitus,,4,1049,,1053,0,0.00379867,0.99620133,0,Anophelinae,Anopheles
Anopheles_labranchiae,,,879,,879,0,0,1,0,Anophelinae,Anopheles
Anopheles_vestitipennis,,,861,,861,0,0,1,0,Anophelinae,Anopheles
Anopheles_coustani,4,13,835,,852,0.004694836,0.015258216,0.980046948,0,Anophelinae,Anopheles
Anopheles_sinensis,,,840,,840,0,0,1,0,Anophelinae,Anopheles
Anopheles_punctimacula,,,692,,692,0,0,1,0,Anophelinae,Anopheles
Anopheles_pulcherrimus,,,605,,605,0,0,1,0,Anophelinae,Anopheles
Anopheles_nuneztovari,,9,550,,559,0,0.016100179,0.983899821,0,Anophelinae,Anopheles
Anopheles_crucians,,22,521,1,544,0,0.040441176,0.957720588,0.001838235,Anophelinae,Anopheles
Anopheles_maculipalpis,,,511,,511,0,0,1,0,Anophelinae,Anopheles
Anopheles_nili,,1,477,,478,0,0.00209205,0.99790795,0,Anophelinae,Anopheles
Anopheles_albitarsis,3,53,385,,441,0.006802721,0.120181406,0.873015873,0,Anophelinae,Anopheles
Anopheles_kochi,,,414,,414,0,0,1,0,Anophelinae,Anopheles
Anopheles_marshallii,,,403,,403,0,0,1,0,Anophelinae,Anopheles
Anopheles_marajoara,,5,391,,396,0,0.012626263,0.987373737,0,Anophelinae,Anopheles
Anopheles_multicolor,,1,365,,366,0,0.00273224,0.99726776,0,Anophelinae,Anopheles
Anopheles_varuna,,,358,,358,0,0,1,0,Anophelinae,Anopheles
Anopheles_koliensis,,7,343,,350,0,0.02,0.98,0,Anophelinae,Anopheles
Anopheles_squamosus,,,341,,341,0,0,1,0,Anophelinae,Anopheles
Anopheles_wellcomei,,,332,,332,0,0,1,0,Anophelinae,Anopheles
Anopheles_rivulorum,,,328,,328,0,0,1,0,Anophelinae,Anopheles
Anopheles_maculatus,,,270,,270,0,0,1,0,Anophelinae,Anopheles
Anopheles_punctipennis,,4,240,3,247,0,0.016194332,0.971659919,0.012145749,Anophelinae,Anopheles
Anopheles_coluzzii,,,231,,231,0,0,1,0,Anophelinae,Anopheles
Anopheles_triannulatus,2,21,208,,231,0.008658009,0.090909091,0.9004329,0,Anophelinae,Anopheles
Anopheles_dthali,,,221,,221,0,0,1,0,Anophelinae,Anopheles
Anopheles_cinereus,,1,216,,217,0,0.004608295,0.995391705,0,Anophelinae,Anopheles
Anopheles_messeae,,9,200,,209,0,0.043062201,0.956937799,0,Anophelinae,Anopheles
Anopheles_smaragdinus,,,201,,201,0,0,1,0,Anophelinae,Anopheles
Anopheles_atroparvus,,2,185,,187,0,0.010695187,0.989304813,0,Anophelinae,Anopheles
Anopheles_franciscanus,,,184,1,185,0,0,0.994594595,0.005405405,Anophelinae,Anopheles
Anopheles_pretoriensis,,,162,,162,0,0,1,0,Anophelinae,Anopheles
Anopheles_flavicosta,,6,145,,151,0,0.039735099,0.960264901,0,Anophelinae,Anopheles
Anopheles_nigerrimus,,,150,,150,0,0,1,0,Anophelinae,Anopheles
Anopheles_moucheti,,,148,,148,0,0,1,0,Anophelinae,Anopheles
Anopheles_flavirostris,,,140,,140,0,0,1,0,Anophelinae,Anopheles
Anopheles_minimus,,1,130,,131,0,0.007633588,0.992366412,0,Anophelinae,Anopheles
Anopheles_aquasalis,,,121,,121,0,0,1,0,Anophelinae,Anopheles
Anopheles_hargreavesi,,,116,,116,0,0,1,0,Anophelinae,Anopheles
Anopheles_peryassui,,9,100,,109,0,0.082568807,0.917431193,0,Anophelinae,Anopheles
Anopheles_claviger,,1,107,,108,0,0.009259259,0.990740741,0,Anophelinae,Anopheles
Anopheles_christyi,,,103,,103,0,0,1,0,Anophelinae,Anopheles
Anopheles_mascarensis,,,64,,64,0,0,1,0,Anophelinae,Anopheles
Anopheles_longipalpis,,,53,,53,0,0,1,0,Anophelinae,Anopheles
